"","day","latency","dist","target_quadrant","opposite_quadrant","wall_zone"
"1",1,36.4770166098059,6.38347790671603,57.8544061302682,0,10.727969348659
"2",2,7.79188879972206,1.36358053995136,15.1515151515152,27.2727272727273,0
"3",3,14.6168922395873,2.55795614192778,6.89655172413793,17.2413793103448,29.3103448275862
"4",4,3.75388634508929,0.656930110390627,38.4615384615385,0,0
"5",5,60.2637483547019,10.5461559620728,5.86319218241042,10.4234527687296,49.8371335504886
"6",6,12.1605147775456,2.12809008607047,9.61538461538462,21.1538461538462,32.6923076923077
"7",7,60.1479217538052,10.5258863069159,17.7884615384615,12.9807692307692,9.61538461538462
"8",8,9.00445521389149,1.57577966243101,16.6666666666667,20,0
"9",1,6.7929656264492,1.18876898462861,19.5121951219512,0,0
"10",2,12.8761869588598,2.25333271780046,7.54716981132075,13.2075471698113,9.43396226415094
"11",3,26.1799190365516,4.58148583139654,17.6470588235294,10.5882352941176,17.6470588235294
"12",4,60.1910730815032,10.5334377892631,18.3908045977011,12.0689655172414,25.8620689655172
"13",5,47.4671413750119,8.30674974062707,13.2478632478632,14.957264957265,47.008547008547
"14",6,22.3902746758446,3.9182980682728,13.0952380952381,17.8571428571429,2.38095238095238
"15",7,24.373942469448,4.26543993215339,28.695652173913,25.2173913043478,13.0434782608696
"16",8,11.0718964683111,1.93758188195445,13.5135135135135,13.5135135135135,0
"17",1,60.1979112333058,10.5346344658285,27.0833333333333,27.4305555555556,5.90277777777778
"18",2,60.4253165795719,10.5744304014251,23.121387283237,20.2312138728324,5.20231213872832
"19",3,60.2927157751605,10.5512252606531,14.3564356435644,26.7326732673267,24.7524752475248
"20",4,60.1135648274944,10.5198738448115,30.5555555555556,21.7592592592593,21.7592592592593
"21",5,60.002798115492,10.5004896702111,17.8181818181818,25.0909090909091,32.7272727272727
"22",6,40.1537752153355,7.02691066268371,19.5945945945946,27.7027027027027,14.1891891891892
"23",7,43.7980530006696,7.66465927511717,22.4358974358974,13.4615384615385,0
"24",8,3.5560161917867,0.622302833562672,30.7692307692308,0,0
"25",1,49.3828414711545,8.64199725745204,36,10.4,5.6
